State,Year,Prescription Drug,Hospital and/or Medical (Part A and or B)
Kentucky,2016,"464,448","881,522"
Louisiana,2012,"313,364","730,029"
Louisiana,2013,"333,041","752,435"
Louisiana,2014,"336,279","773,649"
Louisiana,2015,"340,693","794,082"
Louisiana,2016,"345,473","815,551"
Maine,2012,"141,323","282,034"
Maine,2013,"149,380","291,231"
Maine,2014,"149,679","299,699"
Maine,2015,"150,127","306,810"
Maine,2016,"151,283","314,718"
Maryland,2012,"331,662","845,702"
Maryland,2013,"379,151","878,082"
Maryland,2014,"436,815","906,500"
Maryland,2015,"477,648","932,028"
Maryland,2016,"495,685","960,372"
Massachusetts,2012,"488,140","1,126,369"
Massachusetts,2013,"538,391","1,160,353"
Massachusetts,2014,"555,551","1,191,694"
Massachusetts,2015,"584,638","1,219,920"
Massachusetts,2016,"660,689","1,250,101"
Michigan,2012,"747,217","1,755,386"
Michigan,2013,"1,034,721","1,808,300"
Michigan,2014,"1,063,970","1,855,603"
Michigan,2015,"1,082,463","1,897,523"
Michigan,2016,"1,096,944","1,942,218"
Minnesota,2012,"328,087","835,757"
Minnesota,2013,"352,796","862,990"
Minnesota,2014,"382,016","888,373"
Minnesota,2015,"394,346","913,364"
Minnesota,2016,"411,240","941,060"
Mississippi,2012,"292,752","523,843"
Mississippi,2013,"305,709","537,253"
Mississippi,2014,"312,092","549,803"
Mississippi,2015,"317,781","560,884"
Mississippi,2016,"321,971","571,787"
Missouri,2012,"454,182","1,058,703"
Missouri,2013,"502,240","1,087,465"
Missouri,2014,"522,885","1,114,057"
Missouri,2015,"531,097","1,137,468"
Missouri,2016,"539,183","1,161,996"
Montana,2012,81520,"181,514"
Montana,2013,85289,"188,478"
Montana,2014,86937,"194,926"
Montana,2015,"90,820","201,536"
Montana,2016,"93,817","208,735"
Nebraska,2012,"158,978","291,501"
Nebraska,2013,"158,025","298,608"
Nebraska,2014,"155,767","305,978"
Nebraska,2015,"158,435","314,070"
Nebraska,2016,"167,389","322,220"
Nevada,2012,"112,567","392,754"
Nevada,2013,"134,498","413,539"
Nevada,2014,"143,920","433,597"
Nevada,2015,"153,203","453,727"
Nevada,2016,"161,060","472,710"
New Hampshire,2012,"112,236","240,462"
New Hampshire,2013,"126,662","250,199"
New Hampshire,2014,"134,873","259,087"
New Hampshire,2015,"149,842","266,503"
New Hampshire,2016,"158,378","275,021"
New Jersey,2012,"714,471","1,399,702"
New Jersey,2013,"786,013","1,434,552"
New Jersey,2014,"834,115","1,466,035"
New Jersey,2015,"879,181","1,494,409"
New Jersey,2016,"895,282","1,525,578"
New Mexico,2012,"127,820","337,061"
New Mexico,2013,"134,126","349,207"
New Mexico,2014,"138,279","361,283"
New Mexico,2015,"145,121","373,366"
New Mexico,2016,"152,212","385,626"
New York,2012,"1,050,620","3,142,483"
New York,2013,"1,320,812","3,218,916"
New York,2014,"1,359,135","3,286,882"
New York,2015,"1,387,851","3,349,463"
New York,2016,"1,430,814","3,418,343"
North Carolina,2012,"707,768","1,602,773"
North Carolina,2013,"860,031","1,662,335"
North Carolina,2014,"777,468","1,718,866"
North Carolina,2015,"793,401","1,771,186"
North Carolina,2016,"813,293","1,825,284"
North Dakota,2012,70849,112439
North Dakota,2013,72648,114534
North Dakota,2014,68386,116858
North Dakota,2015,65895,119001
North Dakota,2016,70423,121895
Northern Mariana Islands,2012,0,"1,820"
Northern Mariana Islands,2013,0,"1,904"
Northern Mariana Islands,2014,482,"1,991"
Northern Mariana Islands,2015,0,"2,081"
Northern Mariana Islands,2016,0,"2,173"
Ohio,2012,"885,647","2,004,644"
Ohio,2013,"1,022,834","2,059,316"
Ohio,2014,"1,048,027","2,111,108"
Ohio,2015,"1,043,343","2,156,974"
Ohio,2016,"1,030,878","2,205,542"
Oklahoma,2012,"296,853","635,876"
Oklahoma,2013,"322,970","651,635"
Oklahoma,2014,"332,535","665,823"
Oklahoma,2015,"341,396","679,606"
Oklahoma,2016,"350,594","693,556"
Oregon,2012,"207,225","671,454"
Oregon,2013,"223,816","699,402"
Oregon,2014,"235,143","727,227"
Oregon,2015,"247,482","755,478"
Oregon,2016,"246,046","783,490"
Pennsylvania,2012,"816,333","2,385,785"
Pennsylvania,2013,"958,088","2,441,098"
Pennsylvania,2014,"1,004,317","2,493,031"
Pennsylvania,2015,"1,043,639","2,536,758"
Pennsylvania,2016,"1,075,043","2,586,131"
Puerto Rico,2012,28588,"710,192"
Puerto Rico,2013,26879,"732,573"
Puerto Rico,2014,24522,"748,130"
Puerto Rico,2015,15844,"757,867"
Puerto Rico,2016,16620,"766,804"
Rhode Island,2012,"69,025","191,556"
Rhode Island,2013,"75,419","195,865"
Rhode Island,2014,"78,444","199,901"
Rhode Island,2015,"82,450","203,515"
Rhode Island,2016,"83,898","207,755"
South Carolina,2012,"335,191","838,682"
South Carolina,2013,"361,586","874,000"
South Carolina,2014,"440,679","908,532"
South Carolina,2015,"458,016","942,238"
South Carolina,2016,"469,582","975,327"
South Dakota,2012,80656,143075
South Dakota,2013,84731,147460
South Dakota,2014,87079,151927
South Dakota,2015,92539,156254
South Dakota,2016,95523,160902
Tennessee,2012,"461,309","1,132,694"
Tennessee,2013,"495,765","1,170,893"
Tennessee,2014,"499,672","1,206,362"
Tennessee,2015,"507,563","1,237,098"
Tennessee,2016,"515,272","1,268,366"
Texas,2012,"1,247,952","3,255,476"
Texas,2013,"1,520,716","3,389,370"
Texas,2014,"1,545,358","3,516,924"
Texas,2015,"1,562,698","3,638,836"
Texas,2016,"1,601,271","3,763,675"
Unknown,2012,0,"3,527"
Unknown,2013,0,"3,895"
Unknown,2014,694,"3,646"
Unknown,2015,0,"3,466"
Utah,2012,90907,"306,804"
Utah,2013,99875,"320,117"
Utah,2014,106882,"332,922"
Utah,2015,121998,"345,969"
Utah,2016,126185,"359,247"
Vermont,2012,"64,795","119,794"
Vermont,2013,"70,031","124,106"
Vermont,2014,"78,586","128,075"
Vermont,2015,"86,308","131,559"
Vermont,2016,"89,501","135,615"
Virgin Islands,2012,"5,589","17,528"
Virgin Islands,2013,"6,882","18,119"
Virgin Islands,2014,"10,644","18,752"
Virgin Islands,2015,"11,023","19,307"
Virginia,2012,"509,702","1,225,458"
Virginia,2013,"573,330","1,269,630"
Virginia,2014,"599,914","1,311,311"
Virginia,2015,"616,880","1,350,451"
Virginia,2016,"645,541","1,390,219"
Washington,2012,366752,"1,055,934"
Washington,2013,387675,"1,101,088"
Washington,2014,408069,"1,146,303"
Washington,2015,431971,"1,191,993"
Washington,2016,455665,"1,236,622"
West Virginia,2012,"191,496","397,141"
West Virginia,2013,"189,924","404,944"
West Virginia,2014,"194,901","411,786"
West Virginia,2015,"199,711","417,263"
West Virginia,2016,"201,611","423,298"
Wisconsin,2012,"350,206","965,728"
Wisconsin,2013,"406,104","995,135"
Wisconsin,2014,"420,139","1,023,781"
Wisconsin,2015,"424,471","1,051,153"
Wisconsin,2016,"444,574","1,081,744"
Wyoming,2012,"43,421","85,766"
Wyoming,2013,"47,091","89,054"
Wyoming,2014,"50,112","92,116"
Wyoming,2015,"53,963","95,168"
Wyoming,2016,"57,644","98,532"
