State,year,SUM of Prescription Drug - Prescription Drug Plans
Pennsylvania,2013,"958,088"
Pennsylvania,2014,"1,004,317"
Pennsylvania,2015,"1,043,639"
Pennsylvania,2016,"1,075,043"
Puerto Rico,2012,28588
Puerto Rico,2013,26879
Puerto Rico,2014,24522
Puerto Rico,2015,15844
Puerto Rico,2016,16620
Rhode Island,2012,"69,025"
Rhode Island,2013,"75,419"
Rhode Island,2014,"78,444"
Rhode Island,2015,"82,450"
Rhode Island,2016,"83,898"
South Carolina,2012,"335,191"
South Carolina,2013,"361,586"
South Carolina,2014,"440,679"
South Carolina,2015,"458,016"
South Carolina,2016,"469,582"
South Dakota,2012,80656
South Dakota,2013,84731
South Dakota,2014,87079
South Dakota,2015,92539
South Dakota,2016,95523
Tennessee,2012,"461,309"
Tennessee,2013,"495,765"
Tennessee,2014,"499,672"
Tennessee,2015,"507,563"
Tennessee,2016,"515,272"
Texas,2012,"1,247,952"
Texas,2013,"1,520,716"
Texas,2014,"1,545,358"
Texas,2015,"1,562,698"
Texas,2016,"1,601,271"
Unknown,2012,0
Unknown,2013,0
Unknown,2014,694
Unknown,2015,0
Utah,2012,90907
Utah,2013,99875
Utah,2014,106882
Utah,2015,121998
Utah,2016,126185
Vermont,2012,"64,795"
Vermont,2013,"70,031"
Vermont,2014,"78,586"
Vermont,2015,"86,308"
Vermont,2016,"89,501"
Virgin Islands,2012,"5,589"
Virgin Islands,2013,"6,882"
Virgin Islands,2014,"10,644"
Virgin Islands,2015,"11,023"
Virginia,2012,"509,702"
Virginia,2013,"573,330"
Virginia,2014,"599,914"
Virginia,2015,"616,880"
Virginia,2016,"645,541"
Washington,2012,366752
Washington,2013,387675
Washington,2014,408069
Washington,2015,431971
Washington,2016,455665
West Virginia,2012,"191,496"
West Virginia,2013,"189,924"
West Virginia,2014,"194,901"
West Virginia,2015,"199,711"
West Virginia,2016,"201,611"
Wisconsin,2012,"350,206"
Wisconsin,2013,"406,104"
Wisconsin,2014,"420,139"
Wisconsin,2015,"424,471"
Wisconsin,2016,"444,574"
Wyoming,2012,"43,421"
Wyoming,2013,"47,091"
Wyoming,2014,"50,112"
Wyoming,2015,"53,963"
Wyoming,2016,"57,644"
